starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
time: 40.390s, sent: 7027 msg/s, confirmed: 7075 msg/s, nacked: 0 msg/s, received: 26184 msg/s, min/avg/max latency: 253950/692212/986115 microseconds
time: 41.390s, sent: 3961 msg/s, confirmed: 3913 msg/s, nacked: 0 msg/s, received: 26191 msg/s, min/avg/max latency: 507485/708727/983329 microseconds
time: 42.390s, sent: 4981 msg/s, confirmed: 4981 msg/s, nacked: 0 msg/s, received: 22614 msg/s, min/avg/max latency: 500490/721069/1061376 microseconds
time: 43.390s, sent: 4130 msg/s, confirmed: 4130 msg/s, nacked: 0 msg/s, received: 25569 msg/s, min/avg/max latency: 197244/647201/990153 microseconds
time: 44.497s, sent: 3674 msg/s, confirmed: 3674 msg/s, nacked: 0 msg/s, received: 20159 msg/s, min/avg/max latency: 192787/626049/979680 microseconds
time: 45.497s, sent: 6838 msg/s, confirmed: 6838 msg/s, nacked: 0 msg/s, received: 25042 msg/s, min/avg/max latency: 176915/604994/972122 microseconds
time: 46.497s, sent: 3989 msg/s, confirmed: 3998 msg/s, nacked: 0 msg/s, received: 24873 msg/s, min/avg/max latency: 215885/647991/983972 microseconds
time: 47.497s, sent: 4691 msg/s, confirmed: 4691 msg/s, nacked: 0 msg/s, received: 23652 msg/s, min/avg/max latency: 278007/597240/1049622 microseconds
time: 48.497s, sent: 4022 msg/s, confirmed: 4013 msg/s, nacked: 0 msg/s, received: 26550 msg/s, min/avg/max latency: 186495/576624/1036854 microseconds
time: 49.526s, sent: 4889 msg/s, confirmed: 4889 msg/s, nacked: 0 msg/s, received: 20547 msg/s, min/avg/max latency: 174315/529775/968027 microseconds
time: 50.526s, sent: 5861 msg/s, confirmed: 5866 msg/s, nacked: 0 msg/s, received: 25364 msg/s, min/avg/max latency: 199847/668836/974106 microseconds
time: 51.526s, sent: 4928 msg/s, confirmed: 5057 msg/s, nacked: 0 msg/s, received: 25551 msg/s, min/avg/max latency: 188109/634338/957958 microseconds
time: 52.526s, sent: 4178 msg/s, confirmed: 4044 msg/s, nacked: 0 msg/s, received: 24321 msg/s, min/avg/max latency: 202360/655117/998512 microseconds
time: 53.567s, sent: 3743 msg/s, confirmed: 3743 msg/s, nacked: 0 msg/s, received: 19194 msg/s, min/avg/max latency: 208828/661458/964762 microseconds
time: 54.626s, sent: 4847 msg/s, confirmed: 4847 msg/s, nacked: 0 msg/s, received: 25495 msg/s, min/avg/max latency: 186947/619841/1028258 microseconds
time: 55.626s, sent: 6048 msg/s, confirmed: 6048 msg/s, nacked: 0 msg/s, received: 26814 msg/s, min/avg/max latency: 180369/585092/955353 microseconds
time: 56.626s, sent: 4803 msg/s, confirmed: 4803 msg/s, nacked: 0 msg/s, received: 20458 msg/s, min/avg/max latency: 229902/611110/1090705 microseconds
time: 57.626s, sent: 4156 msg/s, confirmed: 4156 msg/s, nacked: 0 msg/s, received: 27212 msg/s, min/avg/max latency: 174906/577964/1149744 microseconds
time: 58.626s, sent: 6694 msg/s, confirmed: 6694 msg/s, nacked: 0 msg/s, received: 22494 msg/s, min/avg/max latency: 209655/526769/923432 microseconds
time: 59.626s, sent: 3869 msg/s, confirmed: 3876 msg/s, nacked: 0 msg/s, received: 26169 msg/s, min/avg/max latency: 462154/680535/979783 microseconds
time: 60.626s, sent: 1932 msg/s, confirmed: 4791 msg/s, nacked: 0 msg/s, received: 22738 msg/s, min/avg/max latency: 515583/740640/1014533 microseconds
sending rate avg: 4668 msg/s
recving rate avg: 23341 msg/s
