starting consumer #0
starting producer #0
time: 1.000s, sent: 33848 msg/s, received: 30610 msg/s, min/avg/max latency: 2042/78361/120250 microseconds
time: 2.000s, sent: 33567 msg/s, received: 33338 msg/s, min/avg/max latency: 82152/102255/125592 microseconds
time: 3.000s, sent: 33568 msg/s, received: 33271 msg/s, min/avg/max latency: 83474/103910/131794 microseconds
time: 4.000s, sent: 32909 msg/s, received: 33123 msg/s, min/avg/max latency: 81023/103110/127651 microseconds
time: 5.000s, sent: 31533 msg/s, received: 31936 msg/s, min/avg/max latency: 82691/106296/136803 microseconds
time: 6.000s, sent: 33567 msg/s, received: 33388 msg/s, min/avg/max latency: 83278/105264/132867 microseconds
time: 7.000s, sent: 34584 msg/s, received: 34433 msg/s, min/avg/max latency: 81381/100658/120356 microseconds
time: 8.000s, sent: 33927 msg/s, received: 33704 msg/s, min/avg/max latency: 78174/101584/122406 microseconds
time: 9.000s, sent: 33567 msg/s, received: 33825 msg/s, min/avg/max latency: 83017/103203/125133 microseconds
time: 10.000s, sent: 32550 msg/s, received: 32815 msg/s, min/avg/max latency: 84999/105843/132636 microseconds
time: 11.000s, sent: 33567 msg/s, received: 33745 msg/s, min/avg/max latency: 82462/102155/125362 microseconds
time: 12.000s, sent: 33567 msg/s, received: 33518 msg/s, min/avg/max latency: 81015/101922/123269 microseconds
time: 13.000s, sent: 32551 msg/s, received: 31861 msg/s, min/avg/max latency: 86794/108774/131190 microseconds
time: 14.000s, sent: 31891 msg/s, received: 32305 msg/s, min/avg/max latency: 83183/106127/137829 microseconds
time: 15.000s, sent: 33568 msg/s, received: 33242 msg/s, min/avg/max latency: 80510/103353/128508 microseconds
time: 16.000s, sent: 32550 msg/s, received: 32629 msg/s, min/avg/max latency: 81865/105630/132839 microseconds
time: 17.000s, sent: 33567 msg/s, received: 33315 msg/s, min/avg/max latency: 80939/104753/131635 microseconds
time: 18.000s, sent: 33567 msg/s, received: 33669 msg/s, min/avg/max latency: 81738/102451/123764 microseconds
