starting consumer #0
starting producer #0
time: 1.006s, sent: 5969 msg/s, confirmed: 5969 msg/s, nacked: 0 msg/s, received: 5969 msg/s, min/avg/max latency: 531/47310/110087 microseconds
time: 2.006s, sent: 6920 msg/s, confirmed: 5920 msg/s, nacked: 0 msg/s, received: 6655 msg/s, min/avg/max latency: 446/60709/119883 microseconds
time: 3.006s, sent: 7007 msg/s, confirmed: 7007 msg/s, nacked: 0 msg/s, received: 6956 msg/s, min/avg/max latency: 476/54278/111676 microseconds
time: 4.006s, sent: 6929 msg/s, confirmed: 6929 msg/s, nacked: 0 msg/s, received: 6872 msg/s, min/avg/max latency: 446/59683/139048 microseconds
time: 5.006s, sent: 6911 msg/s, confirmed: 6911 msg/s, nacked: 0 msg/s, received: 7150 msg/s, min/avg/max latency: 446/50271/132620 microseconds
time: 6.050s, sent: 6707 msg/s, confirmed: 7665 msg/s, nacked: 0 msg/s, received: 6836 msg/s, min/avg/max latency: 376/48978/97896 microseconds
time: 7.065s, sent: 7802 msg/s, confirmed: 7802 msg/s, nacked: 0 msg/s, received: 7802 msg/s, min/avg/max latency: 493/42144/91682 microseconds
time: 8.065s, sent: 7923 msg/s, confirmed: 6923 msg/s, nacked: 0 msg/s, received: 7271 msg/s, min/avg/max latency: 450/44521/89975 microseconds
time: 9.065s, sent: 7003 msg/s, confirmed: 7003 msg/s, nacked: 0 msg/s, received: 7564 msg/s, min/avg/max latency: 423/47713/113960 microseconds
time: 10.065s, sent: 7807 msg/s, confirmed: 7925 msg/s, nacked: 0 msg/s, received: 7191 msg/s, min/avg/max latency: 481/42248/132754 microseconds
time: 11.107s, sent: 6751 msg/s, confirmed: 7597 msg/s, nacked: 0 msg/s, received: 7429 msg/s, min/avg/max latency: 503/44135/93125 microseconds
time: 12.107s, sent: 8001 msg/s, confirmed: 7001 msg/s, nacked: 0 msg/s, received: 7870 msg/s, min/avg/max latency: 435/40065/84275 microseconds
time: 13.107s, sent: 6923 msg/s, confirmed: 7923 msg/s, nacked: 0 msg/s, received: 7054 msg/s, min/avg/max latency: 489/45863/105381 microseconds
time: 14.107s, sent: 7923 msg/s, confirmed: 6923 msg/s, nacked: 0 msg/s, received: 7372 msg/s, min/avg/max latency: 486/46627/109157 microseconds
time: 15.116s, sent: 6937 msg/s, confirmed: 7928 msg/s, nacked: 0 msg/s, received: 7483 msg/s, min/avg/max latency: 502/41060/81647 microseconds
