starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting consumer #5
starting consumer #6
starting consumer #7
starting consumer #8
starting consumer #9
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
starting producer #5
starting producer #6
starting producer #7
starting producer #8
starting producer #9
time: 1.000s, sent: 20719 msg/s, confirmed: 10719 msg/s, nacked: 0 msg/s, received: 82616 msg/s, min/avg/max latency: 5201/371022/735082 microseconds
time: 2.001s, sent: 14780 msg/s, confirmed: 14780 msg/s, nacked: 0 msg/s, received: 103713 msg/s, min/avg/max latency: 661554/956118/1231480 microseconds
time: 3.001s, sent: 11848 msg/s, confirmed: 11848 msg/s, nacked: 0 msg/s, received: 104047 msg/s, min/avg/max latency: 1017530/1297672/1535711 microseconds
time: 4.001s, sent: 8670 msg/s, confirmed: 8670 msg/s, nacked: 0 msg/s, received: 103908 msg/s, min/avg/max latency: 1269535/1551410/1776450 microseconds
time: 5.001s, sent: 11753 msg/s, confirmed: 11753 msg/s, nacked: 0 msg/s, received: 103873 msg/s, min/avg/max latency: 1491082/1726495/1897926 microseconds
time: 6.001s, sent: 10817 msg/s, confirmed: 10817 msg/s, nacked: 0 msg/s, received: 103905 msg/s, min/avg/max latency: 1336855/1617335/1845148 microseconds
time: 7.001s, sent: 8411 msg/s, confirmed: 8411 msg/s, nacked: 0 msg/s, received: 103907 msg/s, min/avg/max latency: 607970/1691043/2032081 microseconds
time: 8.001s, sent: 10435 msg/s, confirmed: 10435 msg/s, nacked: 0 msg/s, received: 103874 msg/s, min/avg/max latency: 515694/1709589/2175691 microseconds
time: 9.001s, sent: 7802 msg/s, confirmed: 7802 msg/s, nacked: 0 msg/s, received: 103845 msg/s, min/avg/max latency: 601179/1700040/2211749 microseconds
time: 10.001s, sent: 10602 msg/s, confirmed: 10602 msg/s, nacked: 0 msg/s, received: 103888 msg/s, min/avg/max latency: 521182/1469374/2343479 microseconds
time: 11.001s, sent: 9965 msg/s, confirmed: 9965 msg/s, nacked: 0 msg/s, received: 103885 msg/s, min/avg/max latency: 607259/1370383/2607623 microseconds
time: 12.001s, sent: 9249 msg/s, confirmed: 9249 msg/s, nacked: 0 msg/s, received: 103877 msg/s, min/avg/max latency: 710167/1350438/2727313 microseconds
time: 13.001s, sent: 9578 msg/s, confirmed: 9578 msg/s, nacked: 0 msg/s, received: 103893 msg/s, min/avg/max latency: 537081/1235375/3102093 microseconds
time: 14.001s, sent: 14187 msg/s, confirmed: 14187 msg/s, nacked: 0 msg/s, received: 103863 msg/s, min/avg/max latency: 534205/1066648/3447812 microseconds
time: 15.001s, sent: 12854 msg/s, confirmed: 12854 msg/s, nacked: 0 msg/s, received: 103868 msg/s, min/avg/max latency: 576577/1128691/3857179 microseconds
time: 16.001s, sent: 11474 msg/s, confirmed: 11474 msg/s, nacked: 0 msg/s, received: 103915 msg/s, min/avg/max latency: 662820/1297116/4148938 microseconds
time: 17.001s, sent: 11783 msg/s, confirmed: 11783 msg/s, nacked: 0 msg/s, received: 103890 msg/s, min/avg/max latency: 625861/1390273/4491133 microseconds
time: 18.001s, sent: 10196 msg/s, confirmed: 10196 msg/s, nacked: 0 msg/s, received: 103890 msg/s, min/avg/max latency: 401808/1441449/4958972 microseconds
time: 19.001s, sent: 12874 msg/s, confirmed: 12874 msg/s, nacked: 0 msg/s, received: 103897 msg/s, min/avg/max latency: 386689/1412189/5493688 microseconds
time: 20.001s, sent: 8936 msg/s, confirmed: 8936 msg/s, nacked: 0 msg/s, received: 103896 msg/s, min/avg/max latency: 410955/1814032/5935009 microseconds
time: 21.001s, sent: 1680 msg/s, confirmed: 1680 msg/s, nacked: 0 msg/s, received: 92486 msg/s, min/avg/max latency: 740504/3558555/5934031 microseconds
time: 22.001s, sent: 9277 msg/s, confirmed: 9346 msg/s, nacked: 0 msg/s, received: 95162 msg/s, min/avg/max latency: 340425/2482835/4816523 microseconds
