starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting consumer #5
starting consumer #6
starting consumer #7
starting consumer #8
starting consumer #9
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
starting producer #5
starting producer #6
starting producer #7
starting producer #8
starting producer #9
time: 38.006s, sent: 3384 msg/s, confirmed: 3384 msg/s, nacked: 0 msg/s, received: 34742 msg/s, min/avg/max latency: 2770032/3592996/4457592 microseconds
time: 39.048s, sent: 2436 msg/s, confirmed: 2436 msg/s, nacked: 0 msg/s, received: 21125 msg/s, min/avg/max latency: 2732878/3257543/3658832 microseconds
time: 40.048s, sent: 2837 msg/s, confirmed: 2837 msg/s, nacked: 0 msg/s, received: 27412 msg/s, min/avg/max latency: 2738718/3120525/3616358 microseconds
time: 41.048s, sent: 2817 msg/s, confirmed: 2817 msg/s, nacked: 0 msg/s, received: 22481 msg/s, min/avg/max latency: 2822623/3151102/3560590 microseconds
time: 42.048s, sent: 2479 msg/s, confirmed: 2479 msg/s, nacked: 0 msg/s, received: 26057 msg/s, min/avg/max latency: 2669515/3346742/3782608 microseconds
time: 43.140s, sent: 1711 msg/s, confirmed: 1711 msg/s, nacked: 0 msg/s, received: 24263 msg/s, min/avg/max latency: 2610489/3576906/3953150 microseconds
time: 44.140s, sent: 2950 msg/s, confirmed: 2950 msg/s, nacked: 0 msg/s, received: 30389 msg/s, min/avg/max latency: 2621192/3506835/4103560 microseconds
time: 45.149s, sent: 2160 msg/s, confirmed: 2160 msg/s, nacked: 0 msg/s, received: 22835 msg/s, min/avg/max latency: 2475771/3449222/3842708 microseconds
time: 46.150s, sent: 2310 msg/s, confirmed: 2310 msg/s, nacked: 0 msg/s, received: 31994 msg/s, min/avg/max latency: 2385433/3312761/4051689 microseconds
time: 47.150s, sent: 3996 msg/s, confirmed: 3996 msg/s, nacked: 0 msg/s, received: 32189 msg/s, min/avg/max latency: 2362175/3024056/3788976 microseconds
time: 48.150s, sent: 2633 msg/s, confirmed: 2633 msg/s, nacked: 0 msg/s, received: 32157 msg/s, min/avg/max latency: 1987607/2767559/3539711 microseconds
time: 49.167s, sent: 2346 msg/s, confirmed: 2346 msg/s, nacked: 0 msg/s, received: 25303 msg/s, min/avg/max latency: 1989109/2656021/3327608 microseconds
time: 50.167s, sent: 4041 msg/s, confirmed: 4041 msg/s, nacked: 0 msg/s, received: 30309 msg/s, min/avg/max latency: 1939143/2671934/3219077 microseconds
time: 51.167s, sent: 1916 msg/s, confirmed: 1916 msg/s, nacked: 0 msg/s, received: 21887 msg/s, min/avg/max latency: 2183502/2815659/3570102 microseconds
time: 52.216s, sent: 1899 msg/s, confirmed: 1899 msg/s, nacked: 0 msg/s, received: 21771 msg/s, min/avg/max latency: 2386192/3053659/3588645 microseconds
time: 53.216s, sent: 3139 msg/s, confirmed: 3139 msg/s, nacked: 0 msg/s, received: 31177 msg/s, min/avg/max latency: 2712827/3342271/3919019 microseconds
time: 54.216s, sent: 2561 msg/s, confirmed: 2561 msg/s, nacked: 0 msg/s, received: 28137 msg/s, min/avg/max latency: 2279895/3142437/4113819 microseconds
time: 55.216s, sent: 2630 msg/s, confirmed: 2630 msg/s, nacked: 0 msg/s, received: 21446 msg/s, min/avg/max latency: 2387659/3044533/4038698 microseconds
time: 56.359s, sent: 1692 msg/s, confirmed: 1910 msg/s, nacked: 0 msg/s, received: 23867 msg/s, min/avg/max latency: 2608314/3088412/3911954 microseconds
time: 57.359s, sent: 3074 msg/s, confirmed: 2824 msg/s, nacked: 0 msg/s, received: 29809 msg/s, min/avg/max latency: 2521187/3294662/4044223 microseconds
time: 58.468s, sent: 3091 msg/s, confirmed: 3091 msg/s, nacked: 0 msg/s, received: 24659 msg/s, min/avg/max latency: 2307945/2971354/4289893 microseconds
time: 59.627s, sent: 2167 msg/s, confirmed: 2167 msg/s, nacked: 0 msg/s, received: 23923 msg/s, min/avg/max latency: 2506247/2895443/3504132 microseconds
time: 60.777s, sent: 2558 msg/s, confirmed: 2558 msg/s, nacked: 0 msg/s, received: 25331 msg/s, min/avg/max latency: 2458017/2955301/3655179 microseconds
time: 61.777s, sent: 10 msg/s, confirmed: 2894 msg/s, nacked: 0 msg/s, received: 30999 msg/s, min/avg/max latency: 2502880/3271064/3850913 microseconds
time: 62.910s, sent: 0 msg/s, confirmed: 2850 msg/s, nacked: 0 msg/s, received: 25265 msg/s, min/avg/max latency: 2529681/3028398/3749413 microseconds
sending rate avg: 2636 msg/s
recving rate avg: 26361 msg/s
