starting consumer #0
starting producer #0
time: 40.000s, sent: 25662 msg/s, confirmed: 25663 msg/s, nacked: 0 msg/s, received: 25675 msg/s, min/avg/max latency: 32214/38961/50336 microseconds
time: 41.000s, sent: 26599 msg/s, confirmed: 26598 msg/s, nacked: 0 msg/s, received: 26586 msg/s, min/avg/max latency: 32468/37586/46394 microseconds
time: 42.000s, sent: 27587 msg/s, confirmed: 27587 msg/s, nacked: 0 msg/s, received: 27597 msg/s, min/avg/max latency: 31095/36322/41574 microseconds
time: 43.000s, sent: 27202 msg/s, confirmed: 27205 msg/s, nacked: 0 msg/s, received: 27202 msg/s, min/avg/max latency: 32259/36834/42338 microseconds
time: 44.000s, sent: 25618 msg/s, confirmed: 25615 msg/s, nacked: 0 msg/s, received: 25618 msg/s, min/avg/max latency: 31022/39023/53463 microseconds
time: 45.000s, sent: 26520 msg/s, confirmed: 26520 msg/s, nacked: 0 msg/s, received: 26517 msg/s, min/avg/max latency: 32501/37722/50559 microseconds
time: 46.000s, sent: 26704 msg/s, confirmed: 26704 msg/s, nacked: 0 msg/s, received: 26708 msg/s, min/avg/max latency: 31207/37607/44442 microseconds
time: 47.000s, sent: 26495 msg/s, confirmed: 26497 msg/s, nacked: 0 msg/s, received: 26495 msg/s, min/avg/max latency: 31149/37709/49615 microseconds
time: 48.000s, sent: 26600 msg/s, confirmed: 26598 msg/s, nacked: 0 msg/s, received: 26600 msg/s, min/avg/max latency: 32518/37550/45078 microseconds
time: 49.000s, sent: 26861 msg/s, confirmed: 26861 msg/s, nacked: 0 msg/s, received: 26860 msg/s, min/avg/max latency: 32414/37366/43764 microseconds
time: 50.000s, sent: 26459 msg/s, confirmed: 26460 msg/s, nacked: 0 msg/s, received: 26460 msg/s, min/avg/max latency: 31043/37757/49518 microseconds
time: 51.000s, sent: 26380 msg/s, confirmed: 26380 msg/s, nacked: 0 msg/s, received: 26379 msg/s, min/avg/max latency: 31712/38015/49421 microseconds
time: 52.000s, sent: 26865 msg/s, confirmed: 26864 msg/s, nacked: 0 msg/s, received: 26866 msg/s, min/avg/max latency: 32520/37269/46005 microseconds
time: 53.000s, sent: 26235 msg/s, confirmed: 26236 msg/s, nacked: 0 msg/s, received: 26233 msg/s, min/avg/max latency: 32393/38144/51669 microseconds
time: 54.000s, sent: 27168 msg/s, confirmed: 27169 msg/s, nacked: 0 msg/s, received: 27168 msg/s, min/avg/max latency: 32374/36937/42220 microseconds
time: 55.000s, sent: 26791 msg/s, confirmed: 26791 msg/s, nacked: 0 msg/s, received: 26794 msg/s, min/avg/max latency: 32482/37285/43464 microseconds
time: 56.000s, sent: 26955 msg/s, confirmed: 26953 msg/s, nacked: 0 msg/s, received: 26945 msg/s, min/avg/max latency: 32452/37146/43095 microseconds
time: 57.000s, sent: 26903 msg/s, confirmed: 26906 msg/s, nacked: 0 msg/s, received: 26912 msg/s, min/avg/max latency: 30798/37240/43207 microseconds
time: 58.000s, sent: 27218 msg/s, confirmed: 27215 msg/s, nacked: 0 msg/s, received: 27216 msg/s, min/avg/max latency: 31214/36735/43698 microseconds
time: 59.000s, sent: 27048 msg/s, confirmed: 27049 msg/s, nacked: 0 msg/s, received: 27049 msg/s, min/avg/max latency: 32382/37052/42927 microseconds
time: 60.000s, sent: 27053 msg/s, confirmed: 27053 msg/s, nacked: 0 msg/s, received: 27053 msg/s, min/avg/max latency: 32673/37057/41236 microseconds
sending rate avg: 26714 msg/s
recving rate avg: 26714 msg/s
