starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
time: 1.000s, sent: 24312 msg/s, confirmed: 19415 msg/s, nacked: 0 msg/s, received: 86649 msg/s, min/avg/max latency: 2116/209357/592641 microseconds
time: 2.000s, sent: 14765 msg/s, confirmed: 15238 msg/s, nacked: 0 msg/s, received: 86192 msg/s, min/avg/max latency: 145285/363507/775207 microseconds
time: 3.000s, sent: 21992 msg/s, confirmed: 21439 msg/s, nacked: 0 msg/s, received: 103688 msg/s, min/avg/max latency: 126572/231387/340495 microseconds
time: 4.000s, sent: 20646 msg/s, confirmed: 20623 msg/s, nacked: 0 msg/s, received: 103779 msg/s, min/avg/max latency: 192364/285672/393548 microseconds
time: 5.000s, sent: 19936 msg/s, confirmed: 19980 msg/s, nacked: 0 msg/s, received: 103040 msg/s, min/avg/max latency: 150484/262284/432223 microseconds
time: 6.000s, sent: 21064 msg/s, confirmed: 21020 msg/s, nacked: 0 msg/s, received: 103651 msg/s, min/avg/max latency: 155477/249701/379738 microseconds
time: 7.000s, sent: 20972 msg/s, confirmed: 21065 msg/s, nacked: 0 msg/s, received: 103748 msg/s, min/avg/max latency: 155560/252192/373804 microseconds
time: 8.000s, sent: 20592 msg/s, confirmed: 20499 msg/s, nacked: 0 msg/s, received: 103705 msg/s, min/avg/max latency: 151178/251669/429619 microseconds
time: 9.000s, sent: 21955 msg/s, confirmed: 21955 msg/s, nacked: 0 msg/s, received: 103671 msg/s, min/avg/max latency: 160777/250862/417750 microseconds
time: 10.000s, sent: 20259 msg/s, confirmed: 20300 msg/s, nacked: 0 msg/s, received: 103794 msg/s, min/avg/max latency: 170124/312351/444194 microseconds
time: 11.000s, sent: 20596 msg/s, confirmed: 20555 msg/s, nacked: 0 msg/s, received: 103684 msg/s, min/avg/max latency: 163903/268518/466389 microseconds
time: 12.001s, sent: 20887 msg/s, confirmed: 20892 msg/s, nacked: 0 msg/s, received: 103671 msg/s, min/avg/max latency: 124684/292144/434499 microseconds
time: 13.001s, sent: 20119 msg/s, confirmed: 20114 msg/s, nacked: 0 msg/s, received: 103891 msg/s, min/avg/max latency: 151098/277434/424377 microseconds
time: 14.001s, sent: 20375 msg/s, confirmed: 20375 msg/s, nacked: 0 msg/s, received: 103731 msg/s, min/avg/max latency: 135784/248032/428753 microseconds
time: 15.001s, sent: 21396 msg/s, confirmed: 21517 msg/s, nacked: 0 msg/s, received: 103687 msg/s, min/avg/max latency: 145797/237409/410657 microseconds
time: 16.001s, sent: 20870 msg/s, confirmed: 20749 msg/s, nacked: 0 msg/s, received: 103700 msg/s, min/avg/max latency: 136851/249839/424588 microseconds
time: 17.001s, sent: 20266 msg/s, confirmed: 20266 msg/s, nacked: 0 msg/s, received: 103683 msg/s, min/avg/max latency: 141361/243097/400545 microseconds
time: 18.001s, sent: 19721 msg/s, confirmed: 19721 msg/s, nacked: 0 msg/s, received: 103704 msg/s, min/avg/max latency: 136545/240252/433453 microseconds
time: 19.001s, sent: 20660 msg/s, confirmed: 20660 msg/s, nacked: 0 msg/s, received: 103661 msg/s, min/avg/max latency: 142874/244166/426242 microseconds
time: 20.001s, sent: 21388 msg/s, confirmed: 21388 msg/s, nacked: 0 msg/s, received: 103733 msg/s, min/avg/max latency: 151718/240259/410268 microseconds
time: 21.001s, sent: 18581 msg/s, confirmed: 18581 msg/s, nacked: 0 msg/s, received: 96050 msg/s, min/avg/max latency: 145215/278519/584899 microseconds
time: 22.001s, sent: 22713 msg/s, confirmed: 22962 msg/s, nacked: 0 msg/s, received: 103707 msg/s, min/avg/max latency: 106321/231478/505542 microseconds
time: 23.001s, sent: 18641 msg/s, confirmed: 18392 msg/s, nacked: 0 msg/s, received: 95937 msg/s, min/avg/max latency: 141476/283045/613928 microseconds
time: 24.001s, sent: 20642 msg/s, confirmed: 20642 msg/s, nacked: 0 msg/s, received: 103785 msg/s, min/avg/max latency: 208127/290236/497916 microseconds
time: 25.001s, sent: 20480 msg/s, confirmed: 20958 msg/s, nacked: 0 msg/s, received: 102259 msg/s, min/avg/max latency: 156384/268727/532233 microseconds
time: 26.001s, sent: 18801 msg/s, confirmed: 18324 msg/s, nacked: 0 msg/s, received: 102144 msg/s, min/avg/max latency: 158052/290302/556048 microseconds
time: 27.001s, sent: 22416 msg/s, confirmed: 22495 msg/s, nacked: 0 msg/s, received: 103135 msg/s, min/avg/max latency: 155920/249247/462813 microseconds
time: 28.001s, sent: 21242 msg/s, confirmed: 21162 msg/s, nacked: 0 msg/s, received: 102562 msg/s, min/avg/max latency: 168384/256174/498170 microseconds
time: 29.001s, sent: 18135 msg/s, confirmed: 18135 msg/s, nacked: 0 msg/s, received: 101377 msg/s, min/avg/max latency: 168558/294071/546722 microseconds
time: 30.001s, sent: 22254 msg/s, confirmed: 22412 msg/s, nacked: 0 msg/s, received: 103689 msg/s, min/avg/max latency: 148797/238300/458362 microseconds
time: 31.001s, sent: 18910 msg/s, confirmed: 18752 msg/s, nacked: 0 msg/s, received: 100276 msg/s, min/avg/max latency: 166886/293610/554917 microseconds
time: 32.001s, sent: 21853 msg/s, confirmed: 21853 msg/s, nacked: 0 msg/s, received: 103739 msg/s, min/avg/max latency: 165986/253209/515764 microseconds
time: 33.001s, sent: 20295 msg/s, confirmed: 20453 msg/s, nacked: 0 msg/s, received: 101757 msg/s, min/avg/max latency: 164904/247367/521575 microseconds
time: 34.001s, sent: 18870 msg/s, confirmed: 18712 msg/s, nacked: 0 msg/s, received: 101374 msg/s, min/avg/max latency: 152466/272095/535933 microseconds
time: 35.001s, sent: 22184 msg/s, confirmed: 22184 msg/s, nacked: 0 msg/s, received: 103742 msg/s, min/avg/max latency: 172198/259882/494252 microseconds
time: 36.001s, sent: 20094 msg/s, confirmed: 20212 msg/s, nacked: 0 msg/s, received: 101589 msg/s, min/avg/max latency: 154146/260187/528281 microseconds
