starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
time: 1.033s, sent: 6588 msg/s, confirmed: 1748 msg/s, nacked: 0 msg/s, received: 18402 msg/s, min/avg/max latency: 3855/275325/670688 microseconds
time: 2.033s, sent: 5715 msg/s, confirmed: 5789 msg/s, nacked: 0 msg/s, received: 27694 msg/s, min/avg/max latency: 467770/695556/941612 microseconds
time: 3.033s, sent: 5260 msg/s, confirmed: 5257 msg/s, nacked: 0 msg/s, received: 26278 msg/s, min/avg/max latency: 327427/643499/909229 microseconds
time: 4.115s, sent: 3500 msg/s, confirmed: 3435 msg/s, nacked: 0 msg/s, received: 20118 msg/s, min/avg/max latency: 420924/664702/951972 microseconds
time: 5.115s, sent: 6859 msg/s, confirmed: 7091 msg/s, nacked: 0 msg/s, received: 26303 msg/s, min/avg/max latency: 253135/635979/950808 microseconds
time: 6.115s, sent: 4275 msg/s, confirmed: 4043 msg/s, nacked: 0 msg/s, received: 28517 msg/s, min/avg/max latency: 395579/636817/923229 microseconds
time: 7.115s, sent: 5067 msg/s, confirmed: 5067 msg/s, nacked: 0 msg/s, received: 23817 msg/s, min/avg/max latency: 334506/674394/926982 microseconds
time: 8.159s, sent: 3693 msg/s, confirmed: 3693 msg/s, nacked: 0 msg/s, received: 19486 msg/s, min/avg/max latency: 370078/666234/918944 microseconds
time: 9.159s, sent: 5867 msg/s, confirmed: 5867 msg/s, nacked: 0 msg/s, received: 25932 msg/s, min/avg/max latency: 470901/712366/949665 microseconds
time: 10.159s, sent: 5037 msg/s, confirmed: 5037 msg/s, nacked: 0 msg/s, received: 28927 msg/s, min/avg/max latency: 298395/631186/895533 microseconds
time: 11.191s, sent: 3706 msg/s, confirmed: 3706 msg/s, nacked: 0 msg/s, received: 18636 msg/s, min/avg/max latency: 471400/683187/934624 microseconds
time: 12.191s, sent: 6803 msg/s, confirmed: 6871 msg/s, nacked: 0 msg/s, received: 26747 msg/s, min/avg/max latency: 276578/671127/953500 microseconds
time: 13.191s, sent: 3982 msg/s, confirmed: 3914 msg/s, nacked: 0 msg/s, received: 27968 msg/s, min/avg/max latency: 415188/657579/936555 microseconds
time: 14.191s, sent: 5419 msg/s, confirmed: 5487 msg/s, nacked: 0 msg/s, received: 22620 msg/s, min/avg/max latency: 235309/635474/922570 microseconds
time: 15.191s, sent: 3966 msg/s, confirmed: 3898 msg/s, nacked: 0 msg/s, received: 25412 msg/s, min/avg/max latency: 188466/606698/976406 microseconds
time: 16.191s, sent: 4938 msg/s, confirmed: 4938 msg/s, nacked: 0 msg/s, received: 23781 msg/s, min/avg/max latency: 213034/593328/1027822 microseconds
time: 17.294s, sent: 4796 msg/s, confirmed: 4796 msg/s, nacked: 0 msg/s, received: 23632 msg/s, min/avg/max latency: 192776/544519/785018 microseconds
time: 18.318s, sent: 5499 msg/s, confirmed: 5499 msg/s, nacked: 0 msg/s, received: 27478 msg/s, min/avg/max latency: 217978/604667/921320 microseconds
time: 19.318s, sent: 5968 msg/s, confirmed: 5968 msg/s, nacked: 0 msg/s, received: 27630 msg/s, min/avg/max latency: 205855/637111/926739 microseconds
time: 20.318s, sent: 4955 msg/s, confirmed: 4955 msg/s, nacked: 0 msg/s, received: 25304 msg/s, min/avg/max latency: 210455/656480/992513 microseconds
time: 21.385s, sent: 3738 msg/s, confirmed: 3738 msg/s, nacked: 0 msg/s, received: 20307 msg/s, min/avg/max latency: 214768/633308/969447 microseconds
time: 22.385s, sent: 6872 msg/s, confirmed: 6933 msg/s, nacked: 0 msg/s, received: 26987 msg/s, min/avg/max latency: 208387/669214/958385 microseconds
time: 23.560s, sent: 3438 msg/s, confirmed: 3386 msg/s, nacked: 0 msg/s, received: 22754 msg/s, min/avg/max latency: 209486/615914/950472 microseconds
time: 24.560s, sent: 5827 msg/s, confirmed: 5827 msg/s, nacked: 0 msg/s, received: 25410 msg/s, min/avg/max latency: 222262/716522/982785 microseconds
time: 25.560s, sent: 5098 msg/s, confirmed: 5098 msg/s, nacked: 0 msg/s, received: 27933 msg/s, min/avg/max latency: 215562/621906/902045 microseconds
time: 26.577s, sent: 3771 msg/s, confirmed: 3801 msg/s, nacked: 0 msg/s, received: 20828 msg/s, min/avg/max latency: 204782/670256/927832 microseconds
