starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting consumer #5
starting consumer #6
starting consumer #7
starting consumer #8
starting consumer #9
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
starting producer #5
starting producer #6
starting producer #7
starting producer #8
starting producer #9
time: 1.000s, sent: 9861 msg/s, confirmed: 723 msg/s, nacked: 0 msg/s, received: 17477 msg/s, min/avg/max latency: 4345/290844/526009 microseconds
time: 2.000s, sent: 3363 msg/s, confirmed: 3020 msg/s, nacked: 0 msg/s, received: 25275 msg/s, min/avg/max latency: 510530/1043838/1510592 microseconds
time: 3.013s, sent: 2452 msg/s, confirmed: 1939 msg/s, nacked: 0 msg/s, received: 23981 msg/s, min/avg/max latency: 1380378/1891768/2322388 microseconds
time: 4.140s, sent: 2402 msg/s, confirmed: 2402 msg/s, nacked: 0 msg/s, received: 25737 msg/s, min/avg/max latency: 1854192/2699358/3185463 microseconds
time: 5.140s, sent: 3552 msg/s, confirmed: 3552 msg/s, nacked: 0 msg/s, received: 32836 msg/s, min/avg/max latency: 2137208/3202920/3909829 microseconds
time: 6.140s, sent: 1952 msg/s, confirmed: 1952 msg/s, nacked: 0 msg/s, received: 24018 msg/s, min/avg/max latency: 2229749/3227566/3817403 microseconds
time: 7.223s, sent: 2789 msg/s, confirmed: 2789 msg/s, nacked: 0 msg/s, received: 26812 msg/s, min/avg/max latency: 2208197/3294903/3626955 microseconds
time: 8.306s, sent: 2334 msg/s, confirmed: 2334 msg/s, nacked: 0 msg/s, received: 24551 msg/s, min/avg/max latency: 2418299/3339295/3644610 microseconds
time: 9.306s, sent: 3320 msg/s, confirmed: 3320 msg/s, nacked: 0 msg/s, received: 28228 msg/s, min/avg/max latency: 2621959/3453579/3824204 microseconds
time: 10.306s, sent: 2821 msg/s, confirmed: 2824 msg/s, nacked: 0 msg/s, received: 25694 msg/s, min/avg/max latency: 2710211/3430304/3823654 microseconds
time: 11.407s, sent: 1586 msg/s, confirmed: 1584 msg/s, nacked: 0 msg/s, received: 24094 msg/s, min/avg/max latency: 2500745/3428610/3879720 microseconds
time: 12.407s, sent: 2633 msg/s, confirmed: 2633 msg/s, nacked: 0 msg/s, received: 26504 msg/s, min/avg/max latency: 2730034/3466462/3934886 microseconds
time: 13.407s, sent: 2780 msg/s, confirmed: 2780 msg/s, nacked: 0 msg/s, received: 29573 msg/s, min/avg/max latency: 2696682/3518144/4109114 microseconds
time: 14.407s, sent: 3405 msg/s, confirmed: 3405 msg/s, nacked: 0 msg/s, received: 26810 msg/s, min/avg/max latency: 2353536/3324199/3783171 microseconds
time: 15.509s, sent: 2119 msg/s, confirmed: 2119 msg/s, nacked: 0 msg/s, received: 27277 msg/s, min/avg/max latency: 2063761/3086445/3495117 microseconds
