starting consumer #0
starting producer #0
time: 1.000s, sent: 33242 msg/s, received: 30124 msg/s, min/avg/max latency: 2093/80603/126890 microseconds
time: 2.000s, sent: 33867 msg/s, received: 32975 msg/s, min/avg/max latency: 80673/106794/150424 microseconds
time: 3.000s, sent: 32610 msg/s, received: 33232 msg/s, min/avg/max latency: 81594/105495/133872 microseconds
time: 4.000s, sent: 33866 msg/s, received: 33578 msg/s, min/avg/max latency: 82285/104616/133370 microseconds
time: 5.000s, sent: 32550 msg/s, received: 33178 msg/s, min/avg/max latency: 80384/105936/136866 microseconds
time: 6.000s, sent: 32550 msg/s, received: 32591 msg/s, min/avg/max latency: 82211/108175/139597 microseconds
time: 7.000s, sent: 33927 msg/s, received: 33899 msg/s, min/avg/max latency: 79451/103738/126872 microseconds
time: 8.000s, sent: 33926 msg/s, received: 33849 msg/s, min/avg/max latency: 79637/104581/131313 microseconds
time: 9.000s, sent: 33926 msg/s, received: 33175 msg/s, min/avg/max latency: 80210/105760/132464 microseconds
time: 10.000s, sent: 32550 msg/s, received: 33183 msg/s, min/avg/max latency: 80542/106057/133335 microseconds
time: 11.000s, sent: 32550 msg/s, received: 32615 msg/s, min/avg/max latency: 79857/108634/147047 microseconds
time: 12.000s, sent: 32550 msg/s, received: 32365 msg/s, min/avg/max latency: 82020/109325/135425 microseconds
time: 13.000s, sent: 33568 msg/s, received: 33363 msg/s, min/avg/max latency: 77348/105299/134355 microseconds
time: 14.000s, sent: 33567 msg/s, received: 34153 msg/s, min/avg/max latency: 80761/104019/130345 microseconds
time: 15.000s, sent: 33926 msg/s, received: 33408 msg/s, min/avg/max latency: 77952/104084/131753 microseconds
time: 16.000s, sent: 32550 msg/s, received: 33002 msg/s, min/avg/max latency: 78425/107266/134314 microseconds
time: 17.000s, sent: 33867 msg/s, received: 33105 msg/s, min/avg/max latency: 80262/107288/134008 microseconds
time: 18.000s, sent: 32251 msg/s, received: 32777 msg/s, min/avg/max latency: 80828/107441/137425 microseconds
time: 19.000s, sent: 32550 msg/s, received: 32570 msg/s, min/avg/max latency: 80113/108106/134576 microseconds
time: 20.000s, sent: 33926 msg/s, received: 33724 msg/s, min/avg/max latency: 80204/104121/135681 microseconds
time: 21.000s, sent: 34884 msg/s, received: 34421 msg/s, min/avg/max latency: 79330/103424/132503 microseconds
time: 22.000s, sent: 32550 msg/s, received: 32699 msg/s, min/avg/max latency: 75398/106198/137191 microseconds
time: 23.000s, sent: 32550 msg/s, received: 32723 msg/s, min/avg/max latency: 77556/107397/149506 microseconds
time: 24.000s, sent: 32550 msg/s, received: 32942 msg/s, min/avg/max latency: 80330/107220/134256 microseconds
time: 25.000s, sent: 34943 msg/s, received: 34140 msg/s, min/avg/max latency: 76825/103903/130053 microseconds
time: 26.000s, sent: 32550 msg/s, received: 33368 msg/s, min/avg/max latency: 81826/105567/134359 microseconds
time: 27.000s, sent: 33927 msg/s, received: 33744 msg/s, min/avg/max latency: 77663/104267/130843 microseconds
time: 28.000s, sent: 33594 msg/s, received: 33150 msg/s, min/avg/max latency: 77992/106485/139425 microseconds
time: 29.000s, sent: 32523 msg/s, received: 33190 msg/s, min/avg/max latency: 82150/105969/129228 microseconds
time: 30.000s, sent: 33926 msg/s, received: 33424 msg/s, min/avg/max latency: 81081/105189/129683 microseconds
time: 31.000s, sent: 32840 msg/s, received: 33371 msg/s, min/avg/max latency: 80108/105597/130116 microseconds
time: 32.000s, sent: 34295 msg/s, received: 33812 msg/s, min/avg/max latency: 77905/104607/133318 microseconds
time: 33.000s, sent: 33926 msg/s, received: 33433 msg/s, min/avg/max latency: 79547/105691/134572 microseconds
time: 34.000s, sent: 31624 msg/s, received: 32512 msg/s, min/avg/max latency: 80980/108254/144349 microseconds
time: 35.000s, sent: 33476 msg/s, received: 33198 msg/s, min/avg/max latency: 79493/104787/129250 microseconds
time: 36.000s, sent: 33568 msg/s, received: 33066 msg/s, min/avg/max latency: 82770/107823/137166 microseconds
time: 37.000s, sent: 33208 msg/s, received: 33148 msg/s, min/avg/max latency: 82408/107019/134636 microseconds
time: 38.000s, sent: 33567 msg/s, received: 33703 msg/s, min/avg/max latency: 79628/104361/130499 microseconds
time: 39.000s, sent: 33926 msg/s, received: 33699 msg/s, min/avg/max latency: 78406/104257/137480 microseconds
time: 40.000s, sent: 33507 msg/s, received: 33872 msg/s, min/avg/max latency: 78587/103188/129139 microseconds
time: 41.000s, sent: 32970 msg/s, received: 32981 msg/s, min/avg/max latency: 82127/106784/134618 microseconds
time: 42.000s, sent: 32550 msg/s, received: 33106 msg/s, min/avg/max latency: 77396/106418/135490 microseconds
time: 43.000s, sent: 32550 msg/s, received: 32924 msg/s, min/avg/max latency: 82943/107109/136526 microseconds
time: 44.000s, sent: 34584 msg/s, received: 33381 msg/s, min/avg/max latency: 79818/105208/129589 microseconds
time: 45.000s, sent: 33927 msg/s, received: 33879 msg/s, min/avg/max latency: 80748/104374/132933 microseconds
time: 46.000s, sent: 32191 msg/s, received: 32902 msg/s, min/avg/max latency: 79595/106662/134944 microseconds
time: 47.000s, sent: 32191 msg/s, received: 32732 msg/s, min/avg/max latency: 82223/108324/135849 microseconds
time: 48.000s, sent: 33926 msg/s, received: 33561 msg/s, min/avg/max latency: 79635/105137/132623 microseconds
time: 49.000s, sent: 33926 msg/s, received: 33303 msg/s, min/avg/max latency: 81653/105467/130917 microseconds
time: 50.000s, sent: 33568 msg/s, received: 33599 msg/s, min/avg/max latency: 81201/104736/130589 microseconds
time: 51.000s, sent: 32550 msg/s, received: 32443 msg/s, min/avg/max latency: 84760/108643/134355 microseconds
time: 52.000s, sent: 32251 msg/s, received: 33229 msg/s, min/avg/max latency: 80756/106059/133488 microseconds
time: 53.000s, sent: 33866 msg/s, received: 33548 msg/s, min/avg/max latency: 80009/104315/130578 microseconds
time: 54.000s, sent: 33208 msg/s, received: 33145 msg/s, min/avg/max latency: 80480/106505/133143 microseconds
time: 55.000s, sent: 33628 msg/s, received: 33433 msg/s, min/avg/max latency: 81621/105281/134837 microseconds
time: 56.000s, sent: 33866 msg/s, received: 34055 msg/s, min/avg/max latency: 79355/103516/128621 microseconds
time: 57.000s, sent: 32610 msg/s, received: 32740 msg/s, min/avg/max latency: 82565/107645/135839 microseconds
time: 58.000s, sent: 32550 msg/s, received: 32661 msg/s, min/avg/max latency: 81626/107809/138371 microseconds
time: 59.000s, sent: 32550 msg/s, received: 32537 msg/s, min/avg/max latency: 81362/108001/140449 microseconds
time: 60.000s, sent: 33567 msg/s, received: 32996 msg/s, min/avg/max latency: 82996/107661/133563 microseconds
sending rate avg: 33188 msg/s
recving rate avg: 33186 msg/s
