starting consumer #0
starting producer #0
time: 1.027s, sent: 5847 msg/s, confirmed: 5847 msg/s, nacked: 0 msg/s, received: 5847 msg/s, min/avg/max latency: 512/54327/126577 microseconds
time: 2.044s, sent: 6804 msg/s, confirmed: 6804 msg/s, nacked: 0 msg/s, received: 6804 msg/s, min/avg/max latency: 476/52191/150035 microseconds
time: 3.066s, sent: 7812 msg/s, confirmed: 6865 msg/s, nacked: 0 msg/s, received: 6866 msg/s, min/avg/max latency: 556/54283/115038 microseconds
time: 4.075s, sent: 6819 msg/s, confirmed: 6844 msg/s, nacked: 0 msg/s, received: 6844 msg/s, min/avg/max latency: 465/54799/132983 microseconds
time: 5.075s, sent: 6964 msg/s, confirmed: 6923 msg/s, nacked: 0 msg/s, received: 6981 msg/s, min/avg/max latency: 477/57726/153144 microseconds
time: 6.075s, sent: 7021 msg/s, confirmed: 7004 msg/s, nacked: 0 msg/s, received: 7361 msg/s, min/avg/max latency: 528/40486/80351 microseconds
time: 7.075s, sent: 6935 msg/s, confirmed: 6935 msg/s, nacked: 0 msg/s, received: 7199 msg/s, min/avg/max latency: 398/53020/124765 microseconds
time: 8.075s, sent: 7910 msg/s, confirmed: 7910 msg/s, nacked: 0 msg/s, received: 7874 msg/s, min/avg/max latency: 453/41882/111639 microseconds
time: 9.078s, sent: 6000 msg/s, confirmed: 6998 msg/s, nacked: 0 msg/s, received: 6355 msg/s, min/avg/max latency: 468/60509/116902 microseconds
time: 10.078s, sent: 7902 msg/s, confirmed: 6902 msg/s, nacked: 0 msg/s, received: 7391 msg/s, min/avg/max latency: 576/43676/142691 microseconds
time: 11.078s, sent: 7896 msg/s, confirmed: 7922 msg/s, nacked: 0 msg/s, received: 7517 msg/s, min/avg/max latency: 470/41300/115969 microseconds
time: 12.095s, sent: 5927 msg/s, confirmed: 6884 msg/s, nacked: 0 msg/s, received: 6802 msg/s, min/avg/max latency: 391/53009/121572 microseconds
time: 13.095s, sent: 7922 msg/s, confirmed: 6922 msg/s, nacked: 0 msg/s, received: 7744 msg/s, min/avg/max latency: 442/43968/109256 microseconds
time: 14.095s, sent: 7922 msg/s, confirmed: 7922 msg/s, nacked: 0 msg/s, received: 7585 msg/s, min/avg/max latency: 533/40201/91791 microseconds
time: 15.095s, sent: 7001 msg/s, confirmed: 7001 msg/s, nacked: 0 msg/s, received: 7346 msg/s, min/avg/max latency: 415/44705/101371 microseconds
time: 16.104s, sent: 6865 msg/s, confirmed: 7856 msg/s, nacked: 0 msg/s, received: 7033 msg/s, min/avg/max latency: 459/46680/115919 microseconds
time: 17.112s, sent: 7855 msg/s, confirmed: 7855 msg/s, nacked: 0 msg/s, received: 7855 msg/s, min/avg/max latency: 470/39753/90375 microseconds
time: 18.154s, sent: 6728 msg/s, confirmed: 6728 msg/s, nacked: 0 msg/s, received: 6728 msg/s, min/avg/max latency: 472/49717/112741 microseconds
