starting consumer #0
starting producer #0
time: 40.433s, sent: 7001 msg/s, confirmed: 7001 msg/s, nacked: 0 msg/s, received: 7197 msg/s, min/avg/max latency: 466/46712/115606 microseconds
time: 41.433s, sent: 6923 msg/s, confirmed: 6923 msg/s, nacked: 0 msg/s, received: 6915 msg/s, min/avg/max latency: 429/46348/123500 microseconds
time: 42.433s, sent: 6922 msg/s, confirmed: 6922 msg/s, nacked: 0 msg/s, received: 6920 msg/s, min/avg/max latency: 491/44030/105070 microseconds
time: 43.433s, sent: 7006 msg/s, confirmed: 7006 msg/s, nacked: 0 msg/s, received: 6530 msg/s, min/avg/max latency: 492/49527/108770 microseconds
time: 44.487s, sent: 6563 msg/s, confirmed: 7512 msg/s, nacked: 0 msg/s, received: 7188 msg/s, min/avg/max latency: 566/46036/112923 microseconds
time: 45.487s, sent: 7002 msg/s, confirmed: 6002 msg/s, nacked: 0 msg/s, received: 6797 msg/s, min/avg/max latency: 463/50281/113450 microseconds
time: 46.503s, sent: 6812 msg/s, confirmed: 7796 msg/s, nacked: 0 msg/s, received: 7013 msg/s, min/avg/max latency: 474/46340/118458 microseconds
time: 47.553s, sent: 6594 msg/s, confirmed: 6594 msg/s, nacked: 0 msg/s, received: 6594 msg/s, min/avg/max latency: 462/50039/115858 microseconds
time: 48.562s, sent: 6938 msg/s, confirmed: 6938 msg/s, nacked: 0 msg/s, received: 6938 msg/s, min/avg/max latency: 437/42520/102914 microseconds
time: 49.562s, sent: 7920 msg/s, confirmed: 6920 msg/s, nacked: 0 msg/s, received: 7653 msg/s, min/avg/max latency: 687/43062/119133 microseconds
time: 50.612s, sent: 6594 msg/s, confirmed: 7546 msg/s, nacked: 0 msg/s, received: 6848 msg/s, min/avg/max latency: 488/43756/94175 microseconds
time: 51.645s, sent: 6779 msg/s, confirmed: 6779 msg/s, nacked: 0 msg/s, received: 6779 msg/s, min/avg/max latency: 554/43090/100481 microseconds
time: 52.671s, sent: 6744 msg/s, confirmed: 6744 msg/s, nacked: 0 msg/s, received: 6744 msg/s, min/avg/max latency: 623/49564/114735 microseconds
time: 53.679s, sent: 6867 msg/s, confirmed: 6867 msg/s, nacked: 0 msg/s, received: 6867 msg/s, min/avg/max latency: 484/46661/126496 microseconds
time: 54.730s, sent: 6661 msg/s, confirmed: 6661 msg/s, nacked: 0 msg/s, received: 6661 msg/s, min/avg/max latency: 430/45500/107447 microseconds
time: 55.730s, sent: 7924 msg/s, confirmed: 6924 msg/s, nacked: 0 msg/s, received: 7481 msg/s, min/avg/max latency: 510/39562/92110 microseconds
time: 56.730s, sent: 6922 msg/s, confirmed: 6922 msg/s, nacked: 0 msg/s, received: 6480 msg/s, min/avg/max latency: 470/47667/140939 microseconds
time: 57.755s, sent: 5858 msg/s, confirmed: 6834 msg/s, nacked: 0 msg/s, received: 6721 msg/s, min/avg/max latency: 491/53495/104249 microseconds
time: 58.755s, sent: 7917 msg/s, confirmed: 6917 msg/s, nacked: 0 msg/s, received: 7436 msg/s, min/avg/max latency: 520/38588/106844 microseconds
time: 59.755s, sent: 6886 msg/s, confirmed: 6924 msg/s, nacked: 0 msg/s, received: 6614 msg/s, min/avg/max latency: 467/51967/126202 microseconds
sending rate avg: 6756 msg/s
recving rate avg: 6756 msg/s
