starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
time: 39.000s, sent: 19728 msg/s, confirmed: 19843 msg/s, nacked: 0 msg/s, received: 101308 msg/s, min/avg/max latency: 129733/257930/579406 microseconds
time: 40.000s, sent: 20058 msg/s, confirmed: 19943 msg/s, nacked: 0 msg/s, received: 102836 msg/s, min/avg/max latency: 168328/245966/488195 microseconds
time: 41.000s, sent: 19355 msg/s, confirmed: 19355 msg/s, nacked: 0 msg/s, received: 102778 msg/s, min/avg/max latency: 162560/271920/531524 microseconds
time: 42.000s, sent: 22030 msg/s, confirmed: 22051 msg/s, nacked: 0 msg/s, received: 102838 msg/s, min/avg/max latency: 166775/252205/461634 microseconds
time: 43.000s, sent: 20974 msg/s, confirmed: 20953 msg/s, nacked: 0 msg/s, received: 102966 msg/s, min/avg/max latency: 150565/251781/487859 microseconds
time: 44.000s, sent: 18553 msg/s, confirmed: 18553 msg/s, nacked: 0 msg/s, received: 99649 msg/s, min/avg/max latency: 165244/283238/563089 microseconds
time: 45.000s, sent: 21485 msg/s, confirmed: 21485 msg/s, nacked: 0 msg/s, received: 103683 msg/s, min/avg/max latency: 166670/244616/514068 microseconds
time: 46.000s, sent: 20282 msg/s, confirmed: 20465 msg/s, nacked: 0 msg/s, received: 101113 msg/s, min/avg/max latency: 144752/252150/517057 microseconds
time: 47.000s, sent: 21128 msg/s, confirmed: 20945 msg/s, nacked: 0 msg/s, received: 103698 msg/s, min/avg/max latency: 164364/258175/508215 microseconds
time: 48.000s, sent: 19975 msg/s, confirmed: 19988 msg/s, nacked: 0 msg/s, received: 100915 msg/s, min/avg/max latency: 164091/282672/542325 microseconds
time: 49.000s, sent: 19083 msg/s, confirmed: 19070 msg/s, nacked: 0 msg/s, received: 101963 msg/s, min/avg/max latency: 171295/276399/533387 microseconds
time: 50.000s, sent: 21924 msg/s, confirmed: 21924 msg/s, nacked: 0 msg/s, received: 103717 msg/s, min/avg/max latency: 156197/255339/511465 microseconds
time: 51.000s, sent: 21689 msg/s, confirmed: 21715 msg/s, nacked: 0 msg/s, received: 102470 msg/s, min/avg/max latency: 183693/258255/534529 microseconds
time: 52.000s, sent: 20147 msg/s, confirmed: 20121 msg/s, nacked: 0 msg/s, received: 103786 msg/s, min/avg/max latency: 164479/321079/457312 microseconds
time: 53.000s, sent: 21229 msg/s, confirmed: 21229 msg/s, nacked: 0 msg/s, received: 103723 msg/s, min/avg/max latency: 149438/301400/436660 microseconds
time: 54.000s, sent: 20447 msg/s, confirmed: 20447 msg/s, nacked: 0 msg/s, received: 103723 msg/s, min/avg/max latency: 148502/299163/443606 microseconds
time: 55.000s, sent: 20947 msg/s, confirmed: 20947 msg/s, nacked: 0 msg/s, received: 103737 msg/s, min/avg/max latency: 135020/294272/444621 microseconds
time: 56.000s, sent: 19895 msg/s, confirmed: 19895 msg/s, nacked: 0 msg/s, received: 103759 msg/s, min/avg/max latency: 155252/288108/434219 microseconds
time: 57.000s, sent: 20463 msg/s, confirmed: 20463 msg/s, nacked: 0 msg/s, received: 103748 msg/s, min/avg/max latency: 149731/284352/442221 microseconds
time: 58.000s, sent: 22188 msg/s, confirmed: 22188 msg/s, nacked: 0 msg/s, received: 103734 msg/s, min/avg/max latency: 148993/283075/425674 microseconds
time: 59.000s, sent: 20384 msg/s, confirmed: 20384 msg/s, nacked: 0 msg/s, received: 103729 msg/s, min/avg/max latency: 140033/296417/454416 microseconds
time: 60.000s, sent: 20124 msg/s, confirmed: 20124 msg/s, nacked: 0 msg/s, received: 103748 msg/s, min/avg/max latency: 150117/286950/443515 microseconds
sending rate avg: 20424 msg/s
recving rate avg: 102106 msg/s
