starting consumer #0
starting producer #0
time: 1.000s, sent: 25021 msg/s, confirmed: 24022 msg/s, nacked: 0 msg/s, received: 24023 msg/s, min/avg/max latency: 855/36086/45237 microseconds
time: 2.000s, sent: 26269 msg/s, confirmed: 26270 msg/s, nacked: 0 msg/s, received: 26270 msg/s, min/avg/max latency: 32681/38099/49282 microseconds
time: 3.000s, sent: 26962 msg/s, confirmed: 26960 msg/s, nacked: 0 msg/s, received: 26961 msg/s, min/avg/max latency: 33102/37127/41573 microseconds
time: 4.000s, sent: 26762 msg/s, confirmed: 26762 msg/s, nacked: 0 msg/s, received: 26759 msg/s, min/avg/max latency: 33495/37400/42726 microseconds
time: 5.000s, sent: 26945 msg/s, confirmed: 26947 msg/s, nacked: 0 msg/s, received: 26946 msg/s, min/avg/max latency: 32623/37187/41802 microseconds
time: 6.000s, sent: 26459 msg/s, confirmed: 26457 msg/s, nacked: 0 msg/s, received: 26460 msg/s, min/avg/max latency: 31911/37724/50009 microseconds
time: 7.000s, sent: 26786 msg/s, confirmed: 26789 msg/s, nacked: 0 msg/s, received: 26789 msg/s, min/avg/max latency: 32752/37439/43231 microseconds
time: 8.000s, sent: 26709 msg/s, confirmed: 26706 msg/s, nacked: 0 msg/s, received: 26703 msg/s, min/avg/max latency: 33700/37427/43336 microseconds
time: 9.000s, sent: 25906 msg/s, confirmed: 25907 msg/s, nacked: 0 msg/s, received: 25907 msg/s, min/avg/max latency: 32580/38606/49837 microseconds
time: 10.000s, sent: 26948 msg/s, confirmed: 26947 msg/s, nacked: 0 msg/s, received: 26940 msg/s, min/avg/max latency: 31852/37250/43169 microseconds
time: 11.000s, sent: 26712 msg/s, confirmed: 26713 msg/s, nacked: 0 msg/s, received: 26721 msg/s, min/avg/max latency: 31998/37483/43465 microseconds
time: 12.000s, sent: 26594 msg/s, confirmed: 26593 msg/s, nacked: 0 msg/s, received: 26584 msg/s, min/avg/max latency: 32381/37622/44256 microseconds
time: 13.000s, sent: 26570 msg/s, confirmed: 26573 msg/s, nacked: 0 msg/s, received: 26584 msg/s, min/avg/max latency: 32563/37642/43535 microseconds
time: 14.000s, sent: 26884 msg/s, confirmed: 26882 msg/s, nacked: 0 msg/s, received: 26879 msg/s, min/avg/max latency: 31517/37308/47391 microseconds
time: 15.000s, sent: 26460 msg/s, confirmed: 26461 msg/s, nacked: 0 msg/s, received: 26461 msg/s, min/avg/max latency: 33110/37736/43600 microseconds
time: 16.000s, sent: 27239 msg/s, confirmed: 27237 msg/s, nacked: 0 msg/s, received: 27240 msg/s, min/avg/max latency: 31113/36702/43537 microseconds
time: 17.000s, sent: 27052 msg/s, confirmed: 27052 msg/s, nacked: 0 msg/s, received: 27049 msg/s, min/avg/max latency: 32886/37103/44214 microseconds
time: 18.000s, sent: 26216 msg/s, confirmed: 26218 msg/s, nacked: 0 msg/s, received: 26220 msg/s, min/avg/max latency: 33217/38183/46168 microseconds
time: 19.000s, sent: 27095 msg/s, confirmed: 27093 msg/s, nacked: 0 msg/s, received: 27095 msg/s, min/avg/max latency: 31959/37038/45845 microseconds
time: 20.000s, sent: 26952 msg/s, confirmed: 26952 msg/s, nacked: 0 msg/s, received: 26951 msg/s, min/avg/max latency: 31875/37075/46036 microseconds
time: 21.000s, sent: 26667 msg/s, confirmed: 26667 msg/s, nacked: 0 msg/s, received: 26670 msg/s, min/avg/max latency: 32160/37589/46411 microseconds
time: 22.000s, sent: 27105 msg/s, confirmed: 27106 msg/s, nacked: 0 msg/s, received: 27102 msg/s, min/avg/max latency: 32548/36911/44110 microseconds
time: 23.000s, sent: 27324 msg/s, confirmed: 27324 msg/s, nacked: 0 msg/s, received: 27326 msg/s, min/avg/max latency: 32586/36638/41789 microseconds
time: 24.000s, sent: 26649 msg/s, confirmed: 26648 msg/s, nacked: 0 msg/s, received: 26644 msg/s, min/avg/max latency: 33110/37578/44951 microseconds
time: 25.000s, sent: 26657 msg/s, confirmed: 26658 msg/s, nacked: 0 msg/s, received: 26656 msg/s, min/avg/max latency: 32344/37507/44092 microseconds
time: 26.000s, sent: 25859 msg/s, confirmed: 25859 msg/s, nacked: 0 msg/s, received: 25862 msg/s, min/avg/max latency: 32039/38748/50338 microseconds
time: 27.000s, sent: 26745 msg/s, confirmed: 26749 msg/s, nacked: 0 msg/s, received: 26747 msg/s, min/avg/max latency: 33159/37387/45822 microseconds
time: 28.000s, sent: 26465 msg/s, confirmed: 26462 msg/s, nacked: 0 msg/s, received: 26454 msg/s, min/avg/max latency: 33289/37880/45354 microseconds
time: 29.000s, sent: 26587 msg/s, confirmed: 26586 msg/s, nacked: 0 msg/s, received: 26595 msg/s, min/avg/max latency: 33550/37608/44243 microseconds
time: 30.000s, sent: 26510 msg/s, confirmed: 26510 msg/s, nacked: 0 msg/s, received: 26511 msg/s, min/avg/max latency: 32255/37799/44634 microseconds
time: 31.000s, sent: 26141 msg/s, confirmed: 26142 msg/s, nacked: 0 msg/s, received: 26140 msg/s, min/avg/max latency: 31644/38280/48098 microseconds
time: 32.000s, sent: 26016 msg/s, confirmed: 26015 msg/s, nacked: 0 msg/s, received: 26016 msg/s, min/avg/max latency: 33376/38439/49643 microseconds
time: 33.000s, sent: 26437 msg/s, confirmed: 26438 msg/s, nacked: 0 msg/s, received: 26438 msg/s, min/avg/max latency: 33191/37851/44253 microseconds
time: 34.000s, sent: 26667 msg/s, confirmed: 26665 msg/s, nacked: 0 msg/s, received: 26668 msg/s, min/avg/max latency: 32967/37628/44026 microseconds
time: 35.000s, sent: 26781 msg/s, confirmed: 26783 msg/s, nacked: 0 msg/s, received: 26780 msg/s, min/avg/max latency: 33406/37423/43391 microseconds
time: 36.000s, sent: 27350 msg/s, confirmed: 27348 msg/s, nacked: 0 msg/s, received: 27350 msg/s, min/avg/max latency: 32022/36462/42047 microseconds
time: 37.000s, sent: 25638 msg/s, confirmed: 25638 msg/s, nacked: 0 msg/s, received: 25633 msg/s, min/avg/max latency: 32750/39154/54250 microseconds
time: 38.000s, sent: 26594 msg/s, confirmed: 26595 msg/s, nacked: 0 msg/s, received: 26599 msg/s, min/avg/max latency: 32558/37591/43792 microseconds
time: 39.000s, sent: 27010 msg/s, confirmed: 27009 msg/s, nacked: 0 msg/s, received: 27007 msg/s, min/avg/max latency: 31801/37103/41826 microseconds
time: 40.000s, sent: 27163 msg/s, confirmed: 27164 msg/s, nacked: 0 msg/s, received: 27166 msg/s, min/avg/max latency: 32179/36874/41968 microseconds
time: 41.000s, sent: 26743 msg/s, confirmed: 26743 msg/s, nacked: 0 msg/s, received: 26743 msg/s, min/avg/max latency: 31727/37375/45123 microseconds
time: 42.000s, sent: 26859 msg/s, confirmed: 26858 msg/s, nacked: 0 msg/s, received: 26846 msg/s, min/avg/max latency: 31797/37291/45236 microseconds
time: 43.000s, sent: 26911 msg/s, confirmed: 26913 msg/s, nacked: 0 msg/s, received: 26923 msg/s, min/avg/max latency: 32963/37225/43099 microseconds
time: 44.000s, sent: 26535 msg/s, confirmed: 26533 msg/s, nacked: 0 msg/s, received: 26534 msg/s, min/avg/max latency: 32680/37616/43598 microseconds
time: 45.000s, sent: 25394 msg/s, confirmed: 25396 msg/s, nacked: 0 msg/s, received: 25396 msg/s, min/avg/max latency: 32413/39536/55628 microseconds
time: 46.000s, sent: 27617 msg/s, confirmed: 27616 msg/s, nacked: 0 msg/s, received: 27616 msg/s, min/avg/max latency: 32375/36202/42138 microseconds
time: 47.000s, sent: 26674 msg/s, confirmed: 26675 msg/s, nacked: 0 msg/s, received: 26673 msg/s, min/avg/max latency: 31466/37530/44076 microseconds
time: 48.000s, sent: 27024 msg/s, confirmed: 27024 msg/s, nacked: 0 msg/s, received: 27028 msg/s, min/avg/max latency: 31665/36989/41843 microseconds
time: 49.000s, sent: 26884 msg/s, confirmed: 26882 msg/s, nacked: 0 msg/s, received: 26882 msg/s, min/avg/max latency: 31773/37335/42873 microseconds
time: 50.000s, sent: 26822 msg/s, confirmed: 26822 msg/s, nacked: 0 msg/s, received: 26821 msg/s, min/avg/max latency: 32782/37304/48701 microseconds
time: 51.000s, sent: 27065 msg/s, confirmed: 27065 msg/s, nacked: 0 msg/s, received: 27058 msg/s, min/avg/max latency: 31931/37027/44184 microseconds
time: 52.000s, sent: 26910 msg/s, confirmed: 26913 msg/s, nacked: 0 msg/s, received: 26909 msg/s, min/avg/max latency: 32126/37222/47320 microseconds
time: 53.000s, sent: 26964 msg/s, confirmed: 26961 msg/s, nacked: 0 msg/s, received: 26972 msg/s, min/avg/max latency: 31913/37087/44408 microseconds
time: 54.000s, sent: 26761 msg/s, confirmed: 26761 msg/s, nacked: 0 msg/s, received: 26762 msg/s, min/avg/max latency: 33063/37408/46524 microseconds
time: 55.000s, sent: 27218 msg/s, confirmed: 27220 msg/s, nacked: 0 msg/s, received: 27218 msg/s, min/avg/max latency: 31712/36820/44466 microseconds
