starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting consumer #5
starting consumer #6
starting consumer #7
starting consumer #8
starting consumer #9
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
starting producer #5
starting producer #6
starting producer #7
starting producer #8
starting producer #9
time: 37.000s, sent: 10660 msg/s, confirmed: 10660 msg/s, nacked: 0 msg/s, received: 103897 msg/s, min/avg/max latency: 651509/1895208/4308344 microseconds
time: 38.000s, sent: 6465 msg/s, confirmed: 6465 msg/s, nacked: 0 msg/s, received: 103879 msg/s, min/avg/max latency: 597037/1956936/4620428 microseconds
time: 39.000s, sent: 4302 msg/s, confirmed: 4302 msg/s, nacked: 0 msg/s, received: 96066 msg/s, min/avg/max latency: 1017380/2590903/4422477 microseconds
time: 40.000s, sent: 9880 msg/s, confirmed: 10275 msg/s, nacked: 0 msg/s, received: 103816 msg/s, min/avg/max latency: 571119/1478895/3516164 microseconds
time: 41.000s, sent: 8235 msg/s, confirmed: 7841 msg/s, nacked: 0 msg/s, received: 89932 msg/s, min/avg/max latency: 477006/1139803/3505189 microseconds
time: 42.000s, sent: 12213 msg/s, confirmed: 12242 msg/s, nacked: 0 msg/s, received: 103532 msg/s, min/avg/max latency: 532961/990012/3268061 microseconds
time: 43.000s, sent: 10218 msg/s, confirmed: 10342 msg/s, nacked: 0 msg/s, received: 103844 msg/s, min/avg/max latency: 542935/985425/2455971 microseconds
time: 44.000s, sent: 12053 msg/s, confirmed: 11899 msg/s, nacked: 0 msg/s, received: 103888 msg/s, min/avg/max latency: 401017/975614/2128320 microseconds
time: 45.000s, sent: 10001 msg/s, confirmed: 10001 msg/s, nacked: 0 msg/s, received: 103876 msg/s, min/avg/max latency: 548539/1068456/1911965 microseconds
time: 46.000s, sent: 12600 msg/s, confirmed: 12600 msg/s, nacked: 0 msg/s, received: 103875 msg/s, min/avg/max latency: 531231/1154388/1992862 microseconds
time: 47.000s, sent: 12452 msg/s, confirmed: 12452 msg/s, nacked: 0 msg/s, received: 103895 msg/s, min/avg/max latency: 539875/1189954/2249770 microseconds
time: 48.000s, sent: 12452 msg/s, confirmed: 12452 msg/s, nacked: 0 msg/s, received: 103907 msg/s, min/avg/max latency: 376814/1315407/2668096 microseconds
